コード,仕入先名,合計原価,手数料,ハイビー会費,支払計
KRF10,ｶﾌｰﾘｿﾞｰﾄﾌﾁｬｸ　ｺﾝﾄﾞ･ﾎﾃﾙ,422800,30000,0,392800
OGARA,琉球ガラス村,39600,3960,396,35244
OKNV1,カヌチャベイホテル＆ヴィラズ,71280,0,0,71280
OTA,デジタルDMO,600930,10602,0,590328
RR011,OTSレンタカー営業所,1243692,154478,0,1089215
SNUKT,瀬長島ウミカジテラス,432000,0,0,432000
TKSK,渡嘉敷村営船,38480,1924,0,36556
TTTTT,出発日精算用ｸｰﾎﾟﾝ,13822079,0,0,13822079
TYOB,東京バス株式会社沖縄営業所,301540,43395,0,258145
YEKF,八重山観光フェリー株式会社,12480,864,0,11616
ZAMA,座間味村役場那覇出張所,24540,1227,0,23313
okihi,株式会社　沖一ハイヤー,1110,0,0,1110
